Certification Number;Certification Date;Technology Partner;Server Name;Operating System;Database Release;CPU Architecture;CPU Speed;Processors;Cores;Threads;Memory;Cache;Pdf Link;Comments;Benchmark Users;Average Response Time;Average database dialog request time;Average database update request time;Dialog Steps Per Hour;Fully Processed Line Items Per Hour;saps;Ran concurrent with;Configuration;Environment;SAP Business Suite
2012037;2012-12-04;HP;HP ProLiant BL685c G7;Windows Server 2008 R2 Enterprise Edition;SQL Server 2012;AMD Opteron 6380;2.5 GHz;4;64;64;256;64 KB (I) and 16 KB (D) L1 cache per core, 2 MB L2 cache per 2 cores, 16 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12037.pdf;;10457;0.99;;;3425000;1141670;57080;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2012036;2012-12-04;HP;HP ProLiant DL385p Gen 8;Windows Server 2008 R2 Enterprise Edition;SQL Server 2012;AMD Opteron 6386SE;2.8 GHz;2;32;32;128;64 KB (I) and 16 KB (D) L1 cache per core, 2 MB L2 cache per 2 cores, 16 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12036.pdf;;6100;0.99;;;1999000;666330;33320;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2012035;2012-11-13;IBM;IBM Flex System p260 Compute Node;AIX 7.1;DB2 10;IBM POWER7+;4.1 GHz;2;16;64;256;32 KB (I) and 32 KB (D) L1 cache and 256 KB L2 cache per core, 10 MB L3 cache per core;https://www.sap.com/dmc/benchmark/sd2/Cert12035.pdf;;10000;0.97;;;3282000;1094000;54700;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2012034;2012-10-25;HP;HP ProLiant BL660c Gen 8;Windows Server 2008 R2 Enterprise Edition;SQL Server 2012;Intel Xeon Processor E5-4650;2.7 GHz;4;32;64;256;64 KB L1 cache and 256 KB L2 cache per core, 20 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12034.pdf;;12565;0.99;;;4118000;1372670;68630;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2012033;2012-10-03;IBM;IBM Power 780;AIX 7.1;DB2 10;IBM POWER7+;3.72 GHz;12;96;384;1536;32 KB (I) and 32 KB (D) L1 cache and 256 KB L2 cache per core, 10 MB L3 cache per core;https://www.sap.com/dmc/benchmark/sd2/Cert12033.pdf;;57024;0.98;;;18703000;6234330;311720;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2012032;2012-09-07;HP;HP ProLiant DL380 Gen 8;Red Hat Enterprise Linux 6.2;Sybase ASE 15.7;Intel Xeon Processor E5-2690;2.9 GHz;2;16;32;256;64 KB L1 cache and 256 KB L2 cache per core, 20 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12032.pdf;;6250;0.99;;;2046000;682000;34100;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2012031;2012-08-29;NEC;NEC Express5800 Model R120d-1M;Windows Server 2008 R2 Enterprise Edition;SQL Server 2012;Intel Xeon Processor E5-2690;2.9 GHz;2;16;32;128;64 KB L1 cache and 256 KB L2 cache per core, 20 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12031.pdf;;6720;0.96;;;2206000;735330;36770;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2012030;2012-08-07;IBM;IBM Flex System x440;Windows Server 2008 R2 Enterprise Edition;DB2 9.7;Intel Xeon E5-4650;2.7 GHz;4;32;64;256;64 KB L1 cache and 256 KB L2 cache per core, 20 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12030.pdf;;12600;0.86;;;4178000;1392670;69630;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2012029;2012-08-01;Fujitsu;Fujitsu PRIMERGY RX500 S7;Windows Server 2008 R2 Enterprise Edition;SQL Server 2012;Intel Xeon Processor E5-4650;2.7 GHz;4;32;64;256;64 KB L1 cache and 256 KB L2 cache per core, 20 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12029.pdf;;12900;0.98;;;4229000;1409670;70480;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2012028;2012-07-25;Cisco Systems;Cisco UCS B22 M3;Windows Server 2008 R2 Enterprise Edition;SQL Server 2012;Intel Xeon Processor E5-2470;2.3 GHz;2;16;32;96;64 KB L1 cache and 256 KB L2 cache per core, 20 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12028.pdf;;6070;0.99;;;1989000;663000;33150;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2012027;2012-07-25;Cisco Systems;Cisco UCS C240 M3;Windows Server 2008 R2 Datacenter Edition;SQL Server 2012;Intel Xeon Processor E5-2640;2.5 GHz;2;12;24;128;64 KB L1 cache and 256 KB L2 cache per core, 15 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12027.pdf;;4520;0.99;;;1481000;493670;24680;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2012026;2012-06-04;HP;HP ProLiant BL465c Gen8;Windows Server 2008 R2 Enterprise Edition;SQL Server 2012;AMD Opteron 6278;2.4 GHz;2;32;32;128;64 KB(I) and 16 KB(D) L1 cache per core, 2 MB L2 cache per 2 cores, 16 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12026.pdf;;5065;0.99;;;1659000;553000;27650;;2-tier;Bare-Metal;SAP enhancement package 5 for SAP ERP 6.0
2012022;2012-04-24;Dell;Dell PowerEdge R815;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;AMD Opteron 6276;2.3 GHz;4;64;64;256;64 KB (I) and 16 KB (D) L1 cache per core 2 MB L2 cache per 2 cores, 16 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12022.pdf;;8600;0.94;;;2830000;943330;47170;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012021;2012-04-20;Cisco Systems;Cisco UCS B200 M3;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;Intel Xeon Processor E5-2690;2.9 GHz;2;16;32;128;64 KB L1 cache and 256 KB L2 cache per core, 20 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12021.pdf;;7635;0.98;;;2502000;834000;41700;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012020;2012-04-20;IBM;IBM System x3850 X5;Red Hat Enterprise Linux 6.2 on KVM;DB2 9.7;Intel Xeon Processor E7-8870;2.4 GHz;4;40;80;512;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12020.pdf;;10700;0.93;;;3525000;1175000;58750;;2-tier;Virtualized;SAP enhancement package 4 for SAP ERP 6.0
2012019;2012-04-20;Hitachi;Hitachi Compute Blade 2000 X55R3;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;Intel Xeon Processor E5-2690;2.9 GHz;2;16;32;128;64 KB L1 cache and 256 KB L2 cache per core, 20 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12019.pdf;;7000;0.97;;;2298000;766000;38300;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012018;2012-04-20;Hitachi;Hitachi Compute Blade 520H;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;Intel Xeon Processor E5-2680;2.7 GHz;2;16;32;128;64 KB L1 cache and 256 KB L2 cache per core, 20 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12018.pdf;;6845;0.99;;;2242000;747330;37370;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012017;2012-04-20;Dell;Dell PowerEdge R720;Windows Server 2008 Enterprise Edition;SQL Server 2008;Intel Xeon Processor E5-2690;2.9 GHz;2;16;32;128;64 KB L1 cache and 256 KB L2 cache per core, 20 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12017.pdf;;6500;0.84;;;2158000;719330;35970;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012016;2012-04-11;IBM;IBM Flex System x240;Windows Server 2008 R2 Enterprise Edition;DB2 9.7;Intel Xeon Processor E5-2690;2.9 GHz;2;16;32;128;64 KB L1 cache and 256 KB L2 cache per core, 20 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12016.pdf;;7960;0.98;;;2611000;870330;43520;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012015;2012-04-11;IBM;IBM Flex System p460;AIX 7.1;DB2 9.7;IBM Power 7;3.55 GHz;4;32;128;256;32 KB (I) and 32 KB (D) L1 cache and 256 KB L2 cache per core, 4 MB L3 cache per core;https://www.sap.com/dmc/benchmark/sd2/Cert12015.pdf;;17000;0.96;;;5585000;1861670;93080;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012014;2012-04-10;Oracle;Sun Fire X4270 M3;Solaris 10;Oracle 11g;Intel Xeon Processor E5-2690;2.9 GHz;2;16;32;128;64 KB L1 cache and 256 KB L2 cache per core, 20 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12014.pdf;;8320;0.95;;;2734000;911330;45570;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012013;2012-04-03;Cisco Systems;Cisco UCS B230 M2;Red Hat Enterprise Linux 6.1 on KVM;MaxDB 7.8;Intel Xeon Processor E7-2870;2.4 GHz;2;20;40;128;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12013.pdf;;5100;0.9;;;1685000;561670;28080;;2-tier;Virtualized;SAP enhancement package 4 for SAP ERP 6.0
2012012;2012-03-29;HP;HP ProLiant DL380p Gen8;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;Intel Xeon Processor E5-2690;2.9 GHz;2;16;32;128;64 KB L1 cache and 256 KB L2 cache per core, 20 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12012.pdf;;7865;0.99;;;2575000;858330;42920;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012011;2012-03-06;Cisco Systems;Cisco UCS C240 M3;Windows Server 2008 R2 Datacenter Edition;SQL Server 2008;Intel Xeon Processor E5-2690;2.9 GHz;2;16;32;128;64 KB L1 cache and 256 KB L2 cache per core, 20 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12011.pdf;;7635;0.96;;;2508000;836000;41800;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012010;2012-03-06;IBM;IBM System x3650 M4;Windows Server 2008 R2 Enterprise Edition;DB2 9.7;Intel Xeon Processor E5-2690;2.9 GHz;2;16;32;128;64 KB L1 cache and 256 KB L2 cache per core, 20 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12010.pdf;;7855;0.99;;;2573000;857670;42880;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012009;2012-03-06;HP;HP ProLiant BL460c Gen8;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;Intel Xeon Processor E5-2680;2.7 GHz;2;16;32;256;64 KB L1 cache and 256 KB L2 cache per core, 20 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12009.pdf;;7360;0.99;;;2411000;803670;40180;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012008;2012-03-06;Fujitsu;Fujitsu PRIMERGY RX300 S7;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;Intel Xeon Processor E5-2690;2.9 GHz;2;16;32;128;64 KB L1 cache and 256 KB L2 cache per core, 20 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12008.pdf;;7570;0.99;;;2479000;826330;41320;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012006;2012-02-15;IBM;IBM System x3850 X5;Red Hat Enterprise Linux 6.2;DB2 9.7;Intel Xeon Processor E7-8870;2.4 GHz;4;40;80;512;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12006.pdf;;12560;0.99;;;4115000;1371670;68580;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012005;2012-02-02;HP;HP ProLiant DL385 G7;Red Hat Enterprise Linux 6.2;MaxDB 7.8;AMD Opteron 6282SE;2.3 GHz;2;32;32;128;64 KB (I) and 16 KB (D) L1 cache per core, 2 MB L2 cache per 2 cores, 16 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12005.pdf;;5660;0.99;;;1855000;618330;30920;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012004;2012-02-02;HP;HP ProLiant BL465c G7;Red Hat Enterprise Linux 6.2;MaxDB 7.8;AMD Opteron 6276;2.3 GHz;2;32;32;128;64 KB (I) and 16 KB (D) L1 cache per core, 2 MB L2 cache per 2 cores, 16 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12004.pdf;;5125;0.99;;;1679000;559670;27980;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012003;2012-01-27;Cisco Systems;Cisco UCS B230 M2;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;Intel Xeon Processor E7-2870;2.4 GHz;2;20;40;256;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12003.pdf;;6720;0.98;;;2203000;734330;36720;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012002;2012-01-27;Hitachi;Hitachi Compute Blade 2000 X57A2;Windows Server 2008 R2 Datacenter Edition;SQL Server 2008;Intel Xeon Processor E7-8870;2.4 GHz;8;80;160;512;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12002.pdf;;24440;0.98;;;8011000;2670330;133520;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2012001;2012-01-19;Dell;Dell PowerEdge R910;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;Intel Xeon Processor E7-4870;2.4 GHz;4;40;80;256;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert12001.pdf;;11240;0.95;;;3696000;1232000;61600;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011053;2011-12-20;Cisco Systems;Cisco UCS C260 M2;Windows Server 2008 R2 Datacenter Edition;SQL Server 2008;Intel Xeon Processor E7-2870;2.4 GHz;2;20;40;256;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11053.pdf;;6750;0.98;;;2214000;738000;36900;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011052;2011-12-02;HP;HP ProLiant DL980 G7;Red Hat Enterprise Linux 6.2;MaxDB 7.8;Intel Xeon Processor E7-4870;2.4 GHz;8;80;160;512;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert2011052.pdf;;22713;0.95;;;7466000;2488670;124430;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011051;2011-11-29;IBM;IBM System x3755 M3;Windows Server 2008 R2 Enterprise Edition;DB2 9.7;AMD Opteron 6282SE;2.6 GHz;4;64;64;256;64 KB (I) and 16 KB (D) L1 cache per core, 2 MB L2 cache per 2 cores,  16 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11051.pdf;;11680;0.93;;;3848000;1282670;64130;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011050;2011-11-17;Cisco Systems;Cisco UCS C460 M2;Windows Server 2008 R2 Datacenter Edition;SQL Server 2008;Intel Xeon Processor E7-4870;2.4 GHz;4;40;80;256;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11050.pdf;;13230;0.99;;;4335000;1445000;72250;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011049;2011-11-17;Hitachi;Hitachi HA8000 RS440AL;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;Intel Xeon Processor E7-4870;2.4 GHz;4;40;80;512;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11049.pdf;;12545;0.97;;;4115000;1371670;68580;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011048;2011-11-11;HP;HP ProLiant BL685c G7;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;AMD Opteron 6276;2.3 GHz;4;64;64;256;64 KB (I) and 16 KB (D) L1 cache per core, 2 MB L2 cache per 2 cores, 16 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11048.pdf;;10081;0.99;;;3302000;1100670;55030;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011047;2011-11-11;HP;HP ProLiant BL465c G7;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;AMD Opteron 6276;2.3 GHz;2;32;32;128;64 KB (I) and 16 KB (D) L1 cache per core, 2 MB L2 cache per 2 cores, 16 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11047.pdf;;5294;0.99;;;1734000;578000;28900;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011046;2011-11-11;HP;HP ProLiant DL585 G7;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;AMD Opteron 6282SE;2.6 GHz;4;64;64;256;64 KB (I) and 16 KB (D) L1 cache per core, 2 MB L2 cache per 2 cores, 16 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11046.pdf;;11445;0.98;;;3754000;1251330;62570;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011045;2011-11-11;HP;HP ProLiant DL385 G7;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;AMD Opteron 6282SE;2.6 GHz;2;32;32;128;64 KB (I) and 16 KB (D) L1 cache per core, 2 MB L2 cache per 2 cores, 16 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11045.pdf;;5805;0.98;;;1903000;634330;31720;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011044;2011-11-07;HP;HP ProLiant BL460c G7;Windows Server 2008 R2 Enterprise on VMware ESX 5.0;SQL Server 2008;Intel Xeon Processor X5675;3.06 GHz;2;12;24;96;64 KB L1 cache and 256 KB L2 cache per core, 12 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd3/Cert11044.pdf;;32125;0.99;;;10519000;3506330;175320;;3-tier;Virtualized;SAP enhancement package 4 for SAP ERP 6.0
2011043;2011-10-28;IBM;IBM System 750;AIX 7.1;DB2 9.7;POWER7;3.55 GHz;4;32;128;256;32 KB (I) and 32 KB (D) L1 cache and 256 KB L2 cache per core, 4 MB L3 cache per core;https://www.sap.com/dmc/benchmark/sd2/Cert11043.pdf;;17312;0.96;;;5684000;1894670;94730;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011042;2011-10-28;IBM;IBM Power Systems 730;SUSE Linux Enterprise Server 11 SP1;DB2 9.7;POWER7;3.55 GHz;2;16;64;128;32 KB (I) and 32 KB (D) L1 cache and 256 KB L2 cache per core, 4 MB L3 cache per core;https://www.sap.com/dmc/benchmark/sd2/Cert11042.pdf;;7000;0.99;;;2293000;764330;38220;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011041;2011-10-11;Hitachi;Hitachi BladeSymphony BS2000 E57A2;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;Intel Xeon Processor E7-8870;2.4 GHz;4;40;80;256;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11041.pdf;;12640;0.99;;;4140000;1380000;69000;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011040;2011-10-03;Oracle;2x Sun Fire X4800 M2;Solaris 10;Oracle 11g Real Application Clusters (RAC);Intel Xeon Processor E7-8870;2.4 GHz;8;80;160;512;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd_parallel/Cert11040.pdf;Application Servers ran on database servers;49860;0.91;;;16445000;5481670;274080;;SD Parallel - With Round Robin;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011039;2011-10-03;Oracle;4x Sun Fire X4800 M2;Solaris 10;Oracle 11g Real Application Clusters (RAC);Intel Xeon Processor E7-8870;2.4 GHz;8;80;160;512;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd_parallel/Cert11039.pdf;Application Servers ran on database servers;94736;0.41;;;32763000;10921000;546050;;SD Parallel - With Round Robin;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011038;2011-10-03;Oracle;6x Sun Fire X4800 M2;Solaris 10;Oracle 11g Real Application Clusters (RAC);Intel Xeon Processor E7-8870;2.4 GHz;8;80;160;512;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd_parallel/Cert11038.pdf;Application Servers ran on database servers;137904;0.81;;;45928000;15309330;765470;;SD Parallel - With Round Robin;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011037;2011-10-03;Oracle;8x Sun Fire X4800 M2;Solaris 10;Oracle 11g Real Application Clusters (RAC);Intel Xeon Processor E7-8870;2.4 GHz;8;80;160;512;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd_parallel/Cert11037.pdf;Application Servers ran on database servers;180000;0.63;;;60983000;20327670;1016380;;SD Parallel - With Round Robin;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011036;2011-09-12;Oracle;6x Sun Fire X4800 M2;Solaris 10;Oracle 11g Real Application Clusters (RAC);Intel Xeon Processor E7-8870;2.4 GHz;8;80;160;512;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd_parallel/Cert11036.pdf;Application Servers ran on database servers;134080;0.87;;;44415000;14805000;740250;;SD Parallel - With Round Robin;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011034;2011-09-09;IBM;IBM System x3850 X5;Windows Server 2008 R2 Enterprise Edition;DB2 9.7;Intel Xeon Processor E7-8870;2.4 GHz;8;80;160;1024;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11034.pdf;;25500;0.87;;;8443000;2814330;140720;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011032;2011-08-16;IBM;IBM System x3690 X5;Windows Server 2008 Enterprise Edition;DB2 9.7;Intel Xeon Processor E7-2870;2.4 GHz;2;20;40;256;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11032.pdf;;6846;0.99;;;2242000;747330;37370;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011031;2011-08-05;HP;HP ProLiant DL580 G7;SUSE Linux Enterprise Server 11 SP1;MaxDB 7.8;Intel Xeon Processor E7-4870;2.4 GHz;4;40;80;512;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11031.pdf;;12204;0.98;;;4001000;1333670;66680;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011030;2011-08-05;HP;HP ProLiant BL620c G7;SUSE Linux Enterprise Server 11 SP1;MaxDB 7.8;Intel Xeon Processor E7-2870;2.4 GHz;2;20;40;256;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11030.pdf;;6230;0.99;;;2041000;680330;34020;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011029;2011-08-03;Hitachi;Hitachi HA8000 RS220AL;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;Intel Xeon Processor X5690;3.46 GHz;2;12;24;96;64 KB L1 cache and 256 KB L2 cache per core, 12 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11029.pdf;;4750;0.99;;;1556000;518670;25930;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011028;2011-08-02;Fujitsu;Fujitsu PRIMERGY RX300 S6;SUSE Linux Enterprise Server 11 SP1;MaxDB 7.8;Intel Xeon Processor X5690;3.46 GHz;2;12;24;96;64 KB L1 cache and 256 KB L2 cache per core, 12 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11028.pdf;;4875;0.98;;;1598000;532670;26630;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011027;2011-08-02;Fujitsu;Fujitsu PRIMERGY RX300 S6;SUSE Linux Enterprise Server 11 SP1 on VMware vSphere 5.0;MaxDB 7.8;Intel Xeon Processor X5690;3.46 GHz;2;12;24;96;64 KB L1 cache and 128 KB L2 cache per core, 12 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11027.pdf;;4600;0.99;;;1507000;502330;25120;;2-tier;Virtualized;SAP enhancement package 4 for SAP ERP 6.0
2011026;2011-08-02;Fujitsu;Fujitsu PRIMERGY RX600 S6;Windows Server 2008 R2 Datacenter Edition;SQL Server 2008;Intel Xeon Processor E7-4870;2.4 GHz;4;40;80;256;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11026.pdf;;13285;0.97;;;4359000;1453000;72650;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011025;2011-08-02;NEC;NEC Express5800 Model R320b-M4;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;Intel Xeon Processor X5670;2.93 GHz;2;12;24;96;64 KB L1 cache and 256 KB L2 cache per core, 12 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11025.pdf;;3960;0.92;;;1306000;435330;21770;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011024;2011-07-07;IBM;IBM BladeCenter PS702;AIX 7.1;DB2 9.7;POWER7;3 GHz;2;16;64;128;32 KB (I) and 32 KB (D) L1 cache and 256 KB L2 cache per core, 4 MB L3 cache per core;https://www.sap.com/dmc/benchmark/sd2/Cert11024.pdf;;7600;0.93;;;2502000;834000;41700;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
2011023;2011-06-28;NEC;NEC Express5800 Model A1080a-E;Windows Server 2008 R2 Enterprise Edition;SQL Server 2008;Intel Xeon Processor E7-8870;2.4 GHz;8;80;160;512;64 KB L1 cache and 256 KB L2 cache per core, 30 MB L3 cache per processor;https://www.sap.com/dmc/benchmark/sd2/Cert11023.pdf;;24003;0.96;;;7884000;2628000;131400;;2-tier;Bare-Metal;SAP enhancement package 4 for SAP ERP 6.0
